Department for Transport statistics,,,,,,,,,,,,,,
Table CGN0503a,,,,,,,,,,,,,,
"Monthly and 12 month rolling average speeds on local 'A' roads in England [Note 1, Note 2, Note 3]",,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,miles per hour
Month,All day [Note 4],Urban roads [Note 5],Rural roads [Note 5],Weekday morning peak [Note 6],Weekday inter peak [Note 6],Weekday evening peak [Note 6],Weekday off peak [Note 6],All day (Rolling Year) [Note 4],Urban roads (Rolling Year) [Note 5],Rural roads (Rolling Year) [Note 5],Weekday morning peak (Rolling Year) [Note 6],Weekday inter peak (Rolling Year) [Note 6],Weekday evening peak (Rolling Year) [Note 6],Weekday off peak (Rolling Year) [Note 6]
January 2021 [Note 7],25.6,19.2,35.2,24.9,24.9,24.8,27.9,..,..,..,..,..,..,..
February 2021 [Note 7],25.4,18.7,35.1,25.0,24.5,24.4,27.9,..,..,..,..,..,..,..
March 2021 [Note 7],24.7,17.9,34.9,23.6,23.8,23.5,28.0,..,..,..,..,..,..,..
April 2021  [Note 7],24.1,17.2,34.5,23.5,22.9,22.4,28.2,..,..,..,..,..,..,..
May 2021 [Note 7],23.9,17.0,34.4,22.9,22.9,22.1,28.4,..,..,..,..,..,..,..
June 2021 [Note 7],23.8,17.0,34.0,23.1,22.6,21.9,28.4,..,..,..,..,..,..,..
July 2021 [Note 7],24.4,17.5,34.4,24.3,23.1,22.7,28.4,..,..,..,..,..,..,..
August 2021 [Note 7],24.7,17.8,34.3,25.6,23.2,22.8,28.5,..,..,..,..,..,..,..
September 2021 [Note 7],23.3,16.6,33.5,22.1,22.8,21.4,27.6,..,..,..,..,..,..,..
October 2021 [Note 7],23.5,16.8,33.7,22.5,22.8,21.4,27.6,..,..,..,..,..,..,..
November 2021 [Note 7],23.0,16.4,33.4,21.6,22.7,20.4,27.7,..,..,..,..,..,..,..
December 2021 [Note 7],23.7,17.1,34.1,23.3,22.7,21.8,27.8,24.1,17.4,34.3,23.4,23.2,22.4,28.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
